X (m),Y (m),Theta (rad)
0.07924191906434705,-0.09803688310091993,0.0015603304197319625
0.07923293693558514,-0.09803343465545118,0.0015590529860819618
0.07923273441084511,-0.09803407829082779,0.0015778433909556268
0.07923004057644512,-0.09803329255687049,0.0015649355221233649
0.07923030045916525,-0.09803343026015686,0.0015633319156522704
0.0792384068684638,-0.0980390700119463,0.001601139303334324
0.07923843188155624,-0.09804470626231655,0.0015927555309950298
0.07922897681643798,-0.09803948895980909,0.0015640678002872422
0.07922929718513858,-0.09803877510821725,0.0015622539064341619
0.07922486859317641,-0.09803596643118777,0.0015724710355825083
0.07923099757510832,-0.09803230835718367,0.001568371187986225
0.07923707173152433,-0.09803160710654513,0.0015743597819226375
0.0792278941885881,-0.09802659051068419,0.0015477773839391033
0.0792344932834756,-0.09802655723944259,0.0015534711959858374
0.0792338508434939,-0.09802714758607052,0.0015745566116537727
0.07923489713353293,-0.09802790283053953,0.0015745566116537597
0.07923584422480422,-0.09802858618630829,0.0015745566116537467
0.07923670153862632,-0.09802920472780005,0.0015745566116537337
0.07923747758751758,-0.09802976463125578,0.0015745566116537207
0.07923818007508697,-0.09803027145921997,0.0015745566116537077
0.07923881597447661,-0.09803073024332419,0.0015745566116536947
0.079239391597759,-0.0980311455378799,0.0015745566116536817
0.07923991265871279,-0.09803152146539525,0.0015745566116536686
0.079240384329474,-0.09803186175758895,0.0015745566116536556
0.0792408112918892,-0.09803216979243817,0.0015745566116536426
0.07924709445849579,-0.09803435187842968,0.0015729660066226745
0.07923310965717671,-0.09804312883821656,0.0014946090558529493
0.08059346269969561,-0.09809338254281343,-0.0008643051207796683
0.08717036853013986,-0.09801912455196207,-0.0008780633622484659
0.1048418422208451,-0.09793345216857408,-0.002331430221234336
0.12826931515288129,-0.0975310889709541,-8.538491545661936e-05
0.14981346644278948,-0.09723141364770467,-0.0006849812053828579
0.16471484107616258,-0.09701423532549588,-0.0018597801906729762
0.18395520511625796,-0.09682790219527293,-0.0011943759514110484
0.20344668085398707,-0.09672992344772584,-0.0017270408064148704
0.22386150898785323,-0.0965703858603716,-0.002029635585652154
0.24055664270622862,-0.09632196569335515,-0.001876898513771096
0.261112827447462,-0.09612521588444273,-0.0014671849124121314
0.277164510556108,-0.09594006416480227,-0.0015341026258661222
0.2965328382545165,-0.09563933461694925,-0.0012698605226707197
0.3163146929948494,-0.09579080482802142,-0.0002159133332114718
0.336191299785925,-0.09599946171882079,-5.758502169139424e-05
0.3520843240333914,-0.09617375732085988,9.564038017801984e-05
0.3712103940231706,-0.09644294149585697,-0.00047919935441768794
0.39078779278890613,-0.09695937653263295,-0.002870186971740804
0.4074851435014759,-0.09758744537516106,-0.005747556295110644
0.4251174289090147,-0.09826285335336876,-0.009264063708592566
0.44861737628853476,-0.09959735133007018,-0.02116423057459083
0.4649801752093873,-0.10098131946487589,-0.031226165403688513
0.48778832379823067,-0.10291595756215183,-0.04832786132753656
0.5196814246229053,-0.10566555109979439,-0.06618953959406726
0.567031581655164,-0.10985282063346812,-0.08817964415939776
0.6047384166319157,-0.11407640149096672,-0.10169441684376282
0.6424576823162251,-0.11870553490047892,-0.1107533153301668
0.6682859997257461,-0.1221507670870629,-0.11413569270135712
0.7132313533361381,-0.127651880091057,-0.1172185153816009
0.7399212739950785,-0.13117058990229055,-0.11798392380793231
0.785611569639093,-0.13699863749935592,-0.11735935742718763
0.8114719366269996,-0.14053719702011402,-0.11871792554548918
0.8366189742190161,-0.14384567297423062,-0.11898084186567502
0.8513731539758455,-0.1456853056277455,-0.11842228579135138
0.8964079280172198,-0.15110183013469886,-0.1195961213714332
0.9338774103855089,-0.155673602512914,-0.12049955501751325
0.960821306092706,-0.1589322880972085,-0.12076278688356995
0.9964212096950609,-0.16303025055959933,-0.12071918221221276
1.0234362782793067,-0.166047894376894,-0.12126863464096556
1.05819225037521,-0.17016831564626095,-0.120741235964886
1.1017390803931904,-0.1750613765712209,-0.12161972901314458
1.1276279667147509,-0.17779269245358092,-0.1230482710261118
1.142562513883434,-0.1793021272496446,-0.12398404808817944
1.1773518356436754,-0.18322991726822288,-0.12406205178736703
1.2034242794329906,-0.18599481594945347,-0.12511336587748398
1.2401793179728098,-0.19076452011563114,-0.12705291664933888
1.2863078548009212,-0.19760149359042292,-0.12809899406116695
1.346457537084822,-0.20508684943559613,-0.1288867022427606
1.3951433778622855,-0.21075889764002287,-0.12950171689085177
1.4671827258218857,-0.2195397353668652,-0.12899115327834754
1.5259021880038783,-0.22673451004486087,-0.12976160993010089
1.6115007019224636,-0.23773748026554192,-0.13014132547621937
1.7048436924784414,-0.2495452048875646,-0.12939063172075146
1.738980193647512,-0.2537316462693195,-0.12840368032497324
1.8278797222654048,-0.26429606858938975,-0.13196575216076192
1.9178318323435424,-0.2751928865364947,-0.13122284394582678
2.039420249886356,-0.2914177682823804,-0.13203425868557236
2.1023668077478916,-0.2983006233076238,-0.13309566024906197
2.1898736116088298,-0.3092808118755901,-0.1325971649739862
2.2817499530296437,-0.32154294153535257,-0.13240233808994645
2.4012294567258765,-0.33520723202615876,-0.13254835649265986
2.4613115848217992,-0.34122895477702064,-0.13115190009372493
2.5483326080510946,-0.35179047362774696,-0.1313850427100744
2.6150298666428977,-0.3578631085148156,-0.13091308423318807
2.7331642297255474,-0.37078983927878595,-0.12962656872144254
2.7937705004044675,-0.3761953960499835,-0.129242603186352
2.8536783008433235,-0.38101458321181125,-0.12812080424579064
3.0097323784365853,-0.39786734326777756,-0.12595377680431233
3.1352158659368747,-0.41153343074876825,-0.1246537176848382
3.1973391754421487,-0.41843001035937966,-0.12455845410184653
3.2606004703870983,-0.42552122239852885,-0.12442214963686742
3.3241342689763784,-0.43265262643468744,-0.12507366708077813
3.3860678431915483,-0.43831637141972885,-0.1251239932007052
3.5334890149219116,-0.45530090819136976,-0.12533828540962538
3.5961587349743693,-0.4617214405866375,-0.12458982354884932
3.656893059612777,-0.46799174370583224,-0.12468772257467851
3.8065743863164148,-0.487371493504231,-0.12248378908021704
3.8967025713562995,-0.4959874772586385,-0.12300992909675809
3.960371220217396,-0.5021140396785825,-0.12145800849022473
4.051952207746478,-0.5115263766263003,-0.12081178430711682
4.14581392320606,-0.5219043645194549,-0.11943886225938824
4.2112965202019135,-0.5303643985162977,-0.11972767067246708
4.327719609540098,-0.5440570124732124,-0.11845367941187276
4.427127042791523,-0.5528848239256531,-0.11823703699390757
4.544435550192643,-0.5663825962799415,-0.1174471740591457
